topic,label_is,sightings,evidence,pct,ratio
eea_eu_law,EES-réttur,674,67,21.8,10.1
sovereignty,Fullveldi,620,76,20.0,8.2
fisheries,Sjávarútvegur,374,48,12.1,7.8
party_positions,Flokksmál,323,43,10.4,7.5
precedents,Fordæmi,288,58,9.3,5.0
trade,Viðskipti,192,48,6.2,4.0
currency,Gjaldmiðill,174,30,5.6,5.8
agriculture,Landbúnaður,146,32,4.7,4.6
polling,Kannanir,85,24,2.7,3.5
org_positions,Samtök,63,11,2.0,5.7
housing,Húsnæðismál,22,21,0.7,1.0
energy,Orka,22,23,0.7,1.0
labour,Vinnumarkaður,21,18,0.7,1.2
